,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
14903,물치어린이공원,간이운동장,마포구,37.5777055663,126.887884296
14904,미니어린이공원,간이운동장,남구,37.449159,126.684988
14905,미르어린이공원,간이운동장,성남시 분당구,37.3953321669,127.0984226375
14906,미르어린이공원,간이운동장,용인시,37.23730000139504,127.18777398622191
14907,미산리마을회관,간이운동장,안성시,37.1266207623,127.2582644936
14908,미성어린이공원,간이운동장,달서구,35.8326739354,128.533593429
14909,미양게이트볼장,전천후게이트볼장,안성시,36.97872483832349,127.21551155792896
14911,미조게이트볼장,전천후게이트볼장,남해군,34.7086024843312,128.052335264266
14912,미조공설운동장,축구장,남해군,34.7278304958,128.0278504225
14914,미탄실내체육관,체육관,평창군,37.34276561,128.4970724333
14915,미화어린이공원,간이운동장,도봉구,37.654918,127.039731
14916,밀양스포츠센터,체육관,밀양시,35.5057071,128.745295114
14917,밀양종합운동장,육상경기장,밀양시,35.5066405699,128.74704782
14918,밀양파크골프장,골프연습장,밀양시,35.48035232244644,128.74275917494293
14919,바다어린이공원,간이운동장,오산시,37.1705,127.057869
14920,바람어린이공원,간이운동장,수원시 장안구,37.30116,126.981976
14921,바람어린이공원,간이운동장,오산시,37.176156,127.055216
14922,바위어린이공원,간이운동장,오산시,37.172783,127.044899
14923,박산어린이공원,간이운동장,유성구,36.3436325961,127.3117575598
14924,박월게이트볼장,간이운동장,강릉시,37.727858,128.907931
14927,반계리운동기구,간이운동장,원주시,37.2818421105,127.7812428416
14928,반곡중체육시설,간이운동장,원주시,37.3364272665,127.9730091087
14929,반달어린이공원,간이운동장,수원시 팔달구,37.269673,127.024925
14930,반달어린이공원,간이운동장,서구,35.136457,126.857444
14931,반달어린이공원,간이운동장,부천시,37.4903532319,126.7483674603
14932,반디어린이공원,간이운동장,용인시 처인구,37.235479511,127.1957977288
14933,반디어린이공원,간이운동장,노원구,37.661653,127.056123
14934,반석어린이공원,간이운동장,유성구,36.3896641139,127.3146876177
14935,반석어린이공원,간이운동장,도봉구,37.647115,127.041257
14936,반석초쌈지공원,간이운동장,해운대구,35.211403,129.124981
14937,반포종합운동장,전천후게이트볼장,서초구,37.500539351789975,126.99426405314814
14938,반포종합운동장,간이운동장,서초구,37.500684,126.994176
14939,반포천운동시설,간이운동장,서초구,37.499377,126.992943
14940,반포힐스테이트,간이운동장,서초구,37.501359,126.996641
14941,밤골어린이공원,간이운동장,도봉구,37.648825,127.045904
14942,밤나무골소공원,간이운동장,영도구,35.081616,129.065738
14943,방내게이트볼장,간이운동장,강릉시,37.859891,128.837879
14944,방배래미안타워,간이운동장,서초구,37.475116,126.991092
14945,방배브라운스톤,간이운동장,서초구,37.487042,126.994731
14946,방배아크로리버,간이운동장,서초구,37.498066,126.984589
14947,방배아크로타워,간이운동장,서초구,37.483136,126.995288
14948,방산면테니스장,테니스장,양구군,38.209971044,127.9442538578
14949,방성어린이공원,간이운동장,양주시,37.804735327769,127.000426958139
14950,방죽어린이공원,간이운동장,유성구,36.3505642749,127.3319003022
14951,방천강변야구장,야구장,달성군,35.8906321499013,128.512723930471
14952,방축실내수영장,수영장,아산시,36.7791588628827,126.984900822104
14953,방학어린이공원,간이운동장,도봉구,37.662966,127.032403
14954,방화신안네트빌,간이운동장,강서구,37.571566,126.810299
14955,배드민턴경기장,기타시설,밀양시,35.5045069887,128.7452779576
