CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
광산구합기도협회,광주광역시,광주광역시       광산구,합기도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1396428,126.7938232
광산소프트테니스클럽,광주광역시,광주광역시       광산구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1396428,126.7938232
광산초등동호인클럽,광주광역시,광주광역시       광산구,근대5종,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1396428,126.7938232
광양2&1 부부클럽,전라남도,전라남도 광양시      ,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.9406452,127.6959512
광양가야클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양골드클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양그라운드골프동호회,전라남도,전라남도 광양시      ,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양금호그라운드골프동호회,전라남도,전라남도 광양시      ,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양금호그라운드골프동호회,전라남도,전라남도 광양시      ,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.9406452,127.6959512
광양금호클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양덕모클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양리더스클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양마동클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양마로클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양백운클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양선샤인클럽,전라남도,전라남도 광양시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양시게이트볼협회,전라남도,전라남도 광양시      ,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양시바둑협회,전라남도,전라남도 광양시      ,바둑,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
광양시소프트테니스협회,전라남도,전라남도 광양시      ,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.9406452,127.6959512
